Date,Open,High,Low,Close,Adj Close,Volume
12-01-2015,5129.64,5176.77,4871.59,5007.41,5007.41,40617940000
01-01-2016,4897.65,4926.73,4313.39,4613.95,4613.95,44877130000
02-01-2016,4587.59,4636.93,4209.76,4557.95,4557.95,43108650000
03-01-2016,4596.009766,4899.140137,4581.75,4869.850098,4869.850098,40738880000
04-01-2016,4842.549805,4969.319824,4740.839844,4775.359863,4775.359863,38014300000
05-01-2016,4786.549805,4951.450195,4678.379883,4948.049805,4948.049805,38803240000
06-01-2016,4928.970215,4980.140137,4574.25,4842.669922,4842.669922,44213900000
07-01-2016,4837.180176,5175.810059,4786.009766,5162.129883,5162.129883,36050040000
08-01-2016,5167.419922,5275.740234,5109.799805,5213.220215,5213.220215,38754780000
09-01-2016,5218.279785,5342.879883,5097.799805,5312,5312,40054600000
10-01-2016,5300.290039,5340.52002,5169.759766,5189.140137,5189.140137,34644850000
11-01-2016,5199.77002,5403.859863,5034.410156,5323.680176,5323.680176,41870720000
12-01-2016,5323.879883,5512.370117,5238.209961,5383.120117,5383.120117,38559260000
01-01-2017,5425.620117,5669.609863,5397.990234,5614.790039,5614.790039,36027970000
02-01-2017,5654.509766,5867.890137,5616.399902,5825.439941,5825.439941,36709560000
03-01-2017,5874.859863,5928.060059,5769.390137,5911.740234,5911.740234,43937720000
04-01-2017,5917.319824,6074.040039,5805.149902,6047.609863,6047.609863,33793200000
05-01-2017,6067.560059,6221.990234,5996.810059,6198.52002,6198.52002,42285390000
06-01-2017,6215.910156,6341.700195,6087.810059,6140.419922,6140.419922,48689910000
07-01-2017,6173.290039,6460.839844,6081.959961,6348.120117,6348.120117,36063120000
08-01-2017,6372.160156,6435.27002,6177.189941,6428.660156,6428.660156,41236800000
09-01-2017,6442.169922,6497.97998,6334.589844,6495.959961,6495.959961,38177120000
10-01-2017,6506.080078,6737.75,6484.140137,6727.669922,6727.669922,41421370000
11-01-2017,6758.640137,6914.189941,6667.310059,6873.970215,6873.970215,41870380000
12-01-2017,6844.040039,7003.890137,6734.129883,6903.390137,6903.390137,38573170000
01-01-2018,6937.649902,7505.77002,6924.080078,7411.47998,7411.47998,44405890000
02-01-2018,7377.169922,7441.089844,6630.669922,7273.009766,7273.009766,43791970000
03-01-2018,7274.75,7637.27002,6901.069824,7063.450195,7063.450195,48355130000
04-01-2018,7016.169922,7319.580078,6805.959961,7066.27002,7066.27002,42932190000
05-01-2018,7053.649902,7492.419922,6991.140137,7442.120117,7442.120117,45405220000
06-01-2018,7487.660156,7806.600098,7419.560059,7510.299805,7510.299805,48305960000
07-01-2018,7451.899902,7933.310059,7443.100098,7671.790039,7671.790039,38678490000
08-01-2018,7701.819824,8133.299805,7659.52002,8109.540039,8109.540039,45900880000
09-01-2018,8087.950195,8104.069824,7873.930176,8046.350098,8046.350098,44545790000
10-01-2018,8091.5,8107.379883,6922.830078,7305.899902,7305.899902,61400960000
11-01-2018,7327.819824,7572.930176,6830.759766,7330.540039,7330.540039,48560650000
12-01-2018,7486.129883,7486.509766,6190.169922,6635.279785,6635.279785,48808340000
01-01-2019,6506.910156,7303.120117,6457.129883,7281.740234,7281.740234,49199040000
02-01-2019,7256.370117,7602.689941,7225.140137,7532.529785,7532.529785,42304540000
03-01-2019,7587.450195,7850.109863,7332.919922,7729.319824,7729.319824,49145540000
04-01-2019,7800.240234,8176.080078,7777.089844,8095.390137,8095.390137,43162800000
05-01-2019,8132.930176,8164.709961,7448.22998,7453.149902,7453.149902,47405100000
06-01-2019,7441.209961,8088.879883,7292.220215,8006.240234,8006.240234,44505410000
07-01-2019,8145.850098,8339.639648,8059.290039,8175.419922,8175.419922,39238360000
08-01-2019,8190.560059,8311.040039,7662.899902,7962.879883,7962.879883,46090570000
09-01-2019,7906.439941,8243.799805,7847.319824,7999.339844,7999.339844,41462650000
10-01-2019,8026.830078,8335.55957,7700,8292.360352,8292.360352,43976360000
11-01-2019,8335.049805,8705.910156,8326.55957,8665.469727,8665.469727,41581990000
12-01-2019,8672.839844,9052,8435.400391,8972.599609,8972.599609,45940880000
01-01-2020,9039.459961,9451.429688,8943.5,9150.94043,9150.94043,52456350000
02-01-2020,9190.719727,9838.370117,8264.160156,8567.370117,8567.370117,53633950000
03-01-2020,8667.139648,9070.320313,6631.419922,7700.100098,7700.100098,96874040000
04-01-2020,7459.5,8957.269531,7288.109863,8889.549805,8889.549805,78697140000
05-01-2020,8681.290039,9523.639648,8537.830078,9489.870117,9489.870117,76347800000
06-01-2020,9471.419922,10221.84961,9403,10058.76953,10058.76953,1.11E+11
07-01-2020,10063.66992,10839.92969,10048.04004,10745.26953,10745.26953,94321170000
08-01-2020,10848.63965,11829.83984,10762.70996,11775.45996,11775.45996,78408230000
09-01-2020,11850.95996,12074.05957,10519.49023,11167.50977,11167.50977,82059450000
10-01-2020,11291.99023,11965.54004,10822.57031,10911.58984,10911.58984,77827120000
11-01-2020,11010.4502,12244.65039,10830.9502,12198.74023,12198.74023,90598610000
12-01-2020,12313.36035,12973.33008,12214.74023,12888.28027,12888.28027,1.12E+11
01-01-2021,12958.51953,13728.98047,12543.24023,13070.69043,13070.69043,1.38E+11
02-01-2021,13226.17969,14175.12012,13003.98047,13597.96973,13597.96973,1.28E+11
