county_name,County Name Cleaned,state_ID,countyFIPS,State,county_correct_spelling
Statewide Unallocated,Statewide Unallocated,Statewide UnallocatedSD,0,SD,
Aurora County,Aurora,AuroraSD,46003,SD,
Beadle County,Beadle,BeadleSD,46005,SD,
Bennett County,Bennett,BennettSD,46007,SD,
Bon Homme County,Bon Homme,Bon HommeSD,46009,SD,
Brookings County,Brookings,BrookingsSD,46011,SD,
Brown County,Brown,BrownSD,46013,SD,
Brule County,Brule,BruleSD,46015,SD,
Buffalo County,Buffalo,BuffaloSD,46017,SD,
Butte County,Butte,ButteSD,46019,SD,
Campbell County,Campbell,CampbellSD,46021,SD,
Charles Mix County,Charles Mix,Charles MixSD,46023,SD,
Clark County,Clark,ClarkSD,46025,SD,
Clay County,Clay,ClaySD,46027,SD,
Codington County,Codington,CodingtonSD,46029,SD,
Corson County,Corson,CorsonSD,46031,SD,
Custer County,Custer,CusterSD,46033,SD,
Davison County,Davison,DavisonSD,46035,SD,
Day County,Day,DaySD,46037,SD,
Deuel County,Deuel,DeuelSD,46039,SD,
Dewey County,Dewey,DeweySD,46041,SD,
Douglas County,Douglas,DouglasSD,46043,SD,
Edmunds County,Edmunds,EdmundsSD,46045,SD,
Fall River County,Fall River,Fall RiverSD,46047,SD,
Faulk County,Faulk,FaulkSD,46049,SD,
Grant County,Grant,GrantSD,46051,SD,
Gregory County,Gregory,GregorySD,46053,SD,
Haakon County,Haakon,HaakonSD,46055,SD,
Hamlin County,Hamlin,HamlinSD,46057,SD,
Hand County,Hand,HandSD,46059,SD,
Hanson County,Hanson,HansonSD,46061,SD,
Harding County,Harding,HardingSD,46063,SD,
Hughes County,Hughes,HughesSD,46065,SD,
Hutchinson County,Hutchinson,HutchinsonSD,46067,SD,
Hyde County,Hyde,HydeSD,46069,SD,
Jackson County,Jackson,JacksonSD,46071,SD,
Jerauld County,Jerauld,JerauldSD,46073,SD,
Jones County,Jones,JonesSD,46075,SD,
Kingsbury County,Kingsbury,KingsburySD,46077,SD,
Lake County,Lake,LakeSD,46079,SD,
Lawrence County,Lawrence,LawrenceSD,46081,SD,
Lincoln County,Lincoln,LincolnSD,46083,SD,
Lyman County,Lyman,LymanSD,46085,SD,
McCook County,McCook,McCookSD,46087,SD,
McPherson County,McPherson,McPhersonSD,46089,SD,
Marshall County,Marshall,MarshallSD,46091,SD,
Meade County,Meade,MeadeSD,46093,SD,
Mellette County,Mellette,MelletteSD,46095,SD,
Miner County,Miner,MinerSD,46097,SD,
Minnehaha County,Minnehaha,MinnehahaSD,46099,SD,
Moody County,Moody,MoodySD,46101,SD,
Oglala Lakota County,Oglala Lakota,Oglala LakotaSD,46102,SD,
Pennington County,Pennington,PenningtonSD,46103,SD,
Perkins County,Perkins,PerkinsSD,46105,SD,
Potter County,Potter,PotterSD,46107,SD,
Roberts County,Roberts,RobertsSD,46109,SD,
Sanborn County,Sanborn,SanbornSD,46111,SD,
